,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
13869,3163706,Volkswagen,Golf,9.726153537253213,9.849011744301574,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2334,3099729,Mercedes-benz,E Class,10.595383951194421,10.419951013555492,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4458,3114669,Mitsubishi,Outlander,10.37333491957356,10.255434566295218,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3373,3105009,Volkswagen,Transporter,10.043032079974024,10.088752849452312,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12918,3161871,Land,ROVER Range Rover Sport,9.453286550586572,9.684456812178048,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14361,3164653,Volkswagen,Touareg,10.713306039899766,10.876229151641764,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16622,3168377,Volkswagen,Golf,9.947504437952903,9.887115302062487,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16554,3168285,Volkswagen,Passat,9.928131383448887,9.875525398455784,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14503,3164904,Toyota,Corolla,9.79784922051313,9.811017734818128,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4192,3109667,Kia,Stonic,10.16199824768763,10.374856888013042,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3904,3107946,Peugeot,Partner,9.318297513481275,9.440590066232467,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12092,3160243,Honda,Civic,10.124629101179664,10.017156715149143,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
8134,3151539,Hyundai,Tucson,10.22738100695048,10.329359103051473,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
17451,3169721,Volkswagen,T-Roc,10.447583528813514,10.532832085645744,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9149,3153889,Nissan,Micra,9.546455401949554,9.767306043651953,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
5852,3136867,Skoda,Octavia,9.952039593118293,9.941561393866026,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10031,3155837,Volkswagen,Golf,9.99857043378282,10.024099100476644,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2871,3102526,Volkswagen,Golf,9.964112174352563,9.896940149908627,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16081,3167526,Honda,Civic,10.083723602839061,9.982584547203484,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9315,3154300,Skoda,Superb,10.419300717813158,10.61671100281549,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9866,3155537,Volkswagen,Golf,9.66459564425378,9.650568805578079,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
2689,3101544,Hyundai,i40,9.392328539868899,8.974466320152391,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
213,3085636,Ford,Focus,9.795345393916424,9.72453901561769,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6059,3137473,Ford,Transit,10.341742483467284,10.353546397906426,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10600,3157020,Mercedes-benz,CLA Class,10.432644132986843,10.534614649968127,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9483,3154675,Toyota,C-HR,10.325318014730557,10.41561334749735,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
11575,3159258,Mercedes-benz,E Class,10.432644132986843,10.336529833796881,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
9634,3154993,Seat,Ibiza,10.136581434703507,9.987703638560696,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1819,3096688,Skoda,Fabia,9.528794103094718,9.805850861974925,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
3548,3105983,Seat,Leon,9.946930110378965,10.015697689819131,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
10944,3157775,Nissan,Note,9.132378830506472,9.094868647170498,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
185,3085474,Fiat,500,9.543234787249512,9.588770275504654,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
14286,3164535,Nissan,Juke,10.271596874100524,10.171075679145504,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
4603,3133092,Mercedes-benz,GLC Class,10.735309127783832,10.768958013157608,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
6116,3137583,Nissan,Micra,9.413281215972873,9.573070948067315,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15633,3166841,Ford,Focus,9.468851067127684,9.444874028287115,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
16076,3167518,Hyundai,Tucson,10.163926888594034,10.230021932333255,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
12495,3161004,Opel,Mokka,10.519888668850758,10.38592034052541,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
15999,3167393,Nissan,Qashqai,10.274878680310541,10.16714078151864,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
1860,3096929,Opel,Corsa,9.769956159911606,9.832856579155242,-0.027317243474706012,6,12,0,9,6,0.0,600,58,0.009443624894093243
