,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
521,3087881,Renault,Kadjar,9.849559210510572,9.978742781694839,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14076,3164177,Renault,Captur,9.949893925350283,10.096233412436677,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1000,3091140,Hyundai,ix35,9.543234787249512,9.496116638297764,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
10505,3156846,Nissan,Micra,9.047233034106032,9.563112601024045,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12354,3160745,Volkswagen,Polo,9.446676517076376,9.425729727759911,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15873,3167212,Ford,Focus,9.79784922051313,9.865439122044318,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9903,3155609,Toyota,Yaris,9.738023112808596,9.86802359610545,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9664,3155070,Volkswagen,Golf,9.43747594455993,9.609043859957248,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7522,3150067,Kia,Sportage,9.849559210510572,10.059947248315835,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6815,3139679,Audi,Q5,11.14836234818249,10.786524577282115,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
17163,3169280,Nissan,Micra,9.581559041355757,9.84803092761492,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3872,3107827,Suzuki,Swift,9.185022563991893,9.364534953073795,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13961,3163939,Ford,Focus,9.60911649193355,9.620640372592838,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7182,3140796,Toyota,C-HR,10.273325483001141,10.387509703303154,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9317,3154303,Ford,Fiesta,9.464982590349763,9.620622338132842,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3887,3107867,Nissan,Qashqai,10.237635661893249,10.090318445206163,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9783,3155343,Toyota,Corolla,10.19802109993701,10.071461213456406,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8218,3151735,Hyundai,Tucson,10.21993928098399,10.20624418168746,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8443,3152197,Volkswagen,Passat,9.849559210510572,9.905982910417531,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6383,3138377,Ford,Mondeo,9.925444719888171,9.762839634273325,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3884,3107861,Mazda,Mazda6,9.301094735244646,9.312690380943128,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
629,3088495,Skoda,Octavia,10.04107321548869,10.138022532017832,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
73,3084823,Volkswagen,Tiguan,9.991956200523736,9.993354251095736,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1812,3096563,Bmw,4 Series,9.74090979777877,10.166694674859807,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
848,3090077,Mercedes-benz,CLA Class,10.542706391070517,10.414413234034495,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2458,3100272,Audi,A4,9.767094927630573,9.286143183138542,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1601,3095145,Ford,Fiesta,9.388486557359657,9.287304267921128,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
17240,3169400,Kia,Sportage,10.60893378868309,10.273663800279909,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11578,3159261,Nissan,Serena,9.902987427494446,9.843242092942576,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6163,3137722,Seat,Ibiza,9.66459564425378,9.747689531701223,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
867,3090365,Hyundai,Kona,10.076474005852402,10.050267742007366,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15757,3167040,Mercedes-benz,A Class,9.851931065621725,9.739692535652923,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3025,3103258,Audi,A4,9.491752831414368,9.215294066929577,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2419,3100122,Kia,Ceed,9.568014816247999,9.656006287767044,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16677,3168451,Toyota,Yaris,9.38806805975991,9.548451367827154,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13357,3162708,Hyundai,Tucson,9.838949031398556,9.959799674520854,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2324,3099685,Toyota,Landcruiser,10.611744995900427,10.360399956616558,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14305,3164563,Bmw,4 Series,10.402746539930654,10.507951102725338,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7469,3149903,Nissan,X-Trail,10.46296047312364,9.981763939293067,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7291,3141113,Nissan,X-Trail,10.34158118013602,10.040783004372347,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7370,3141377,Bmw,5 Series,10.690807903113322,10.47707703870639,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2883,3102563,Hyundai,ix35,9.345745008982385,9.566365525096934,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11736,3159599,Bmw,4 Series,10.184900011974314,10.341120882288264,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14842,3165448,Mercedes-benz,E Class,10.798554647958657,10.367081794512488,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14164,3164311,Bmw,5 Series,10.307284603543595,10.399130583074326,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1,3084414,Mercedes-benz,GLC Class,10.689555697360309,10.729322094922509,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
751,3089358,Land,ROVER Discovery,11.00126616045566,10.194616239128942,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13957,3163935,Volkswagen,Tiguan,10.73400250738888,10.700589237690236,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12249,3160543,Bmw,5 Series,10.043032079974024,10.233091748969844,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8564,3152500,Peugeot,5008,10.505067539570582,10.136967250658353,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4215,3109726,Kia,Sportage,10.03889218954233,10.080344832362107,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12115,3160307,Kia,Ceed,9.209840246934501,9.087257313160631,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8073,3151312,Ford,Focus,9.849559210510572,9.987170902069016,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
5430,3135666,Bmw,3 Series,11.050096039472493,10.556529592353598,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1023,3091271,Bmw,1 Series,9.578449693540579,9.583202135350428,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16656,3168419,Toyota,Yaris,8.68270762989381,9.034248170664677,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12729,3161665,Bmw,1 Series,9.67721410821299,9.58731613371949,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14464,3164842,Bmw,5 Series,10.570034051298894,10.495993872577095,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11604,3159324,Nissan,Qashqai,10.2396025825095,10.111398586242073,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
362,3086663,Toyota,Avensis,9.099408811268901,9.254604451457446,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14409,3164735,Toyota,Aqua,9.47262771040802,9.575270982883989,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15235,3166141,Ford,Kuga,10.489884363149192,10.23496148173074,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
17345,3169554,Nissan,Juke,9.392578591964389,9.419171322405411,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2113,3098490,Audi,A3,9.895959286115337,10.010013155793928,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16827,3168683,Volkswagen,Touran,9.371608519572305,9.74416527202055,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9780,3155336,Toyota,Corolla,10.203406942652387,10.318765048910212,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11127,3158148,Toyota,Corolla,8.146129510025405,8.692611248111358,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9408,3154493,Mercedes-benz,E Class,10.645305842559727,10.347578782090244,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4670,3133258,Volkswagen,Polo,9.259130536145614,9.40765165765378,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13176,3162351,Opel,Corsa,9.157993891603974,9.35291337951538,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4079,3109007,Renault,Captur,10.16199824768763,10.20080210256652,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12658,3161283,Opel,Astra,9.38429367909962,9.571099799951378,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
21,3084563,Mazda,CX-5,10.124629101179664,10.20613423304141,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13164,3162329,Volkswagen,Polo,9.67721410821299,9.776710721046133,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16983,3168934,Ford,Focus,8.517193191416238,8.721269866985871,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
180,3085423,Skoda,Fabia,9.612466578818832,9.724909498848525,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16852,3168727,Audi,Q3,10.67301690301488,10.70329231185691,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4550,3132971,Volkswagen,Golf,10.104385494903019,9.896746727697304,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1861,3096932,Peugeot,5008,10.431170293368542,10.055993984074274,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14972,3165701,Seat,Ateca,10.356948858912547,10.547079659611882,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6514,3138740,Peugeot,3008,10.16199824768763,10.113709367630408,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15465,3166515,Nissan,Micra,9.825255704266555,9.950700445110625,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
1130,3091983,Mercedes-benz,CLA Class,10.404111313817522,10.195817329698745,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4557,3132980,Nissan,Qashqai,9.996522418503318,10.025328231364696,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2559,3100796,Toyota,Prius,9.464982590349763,9.666590320242353,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16950,3168880,Toyota,C-HR,10.083723602839061,10.405185662106703,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
5955,3137247,Kia,Sportage,10.34158118013602,10.021609132293735,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13543,3163142,Volkswagen,Caddy,9.648595302907339,9.965005205285488,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13004,3162021,Hyundai,i30,9.254357257392957,9.388582793620577,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16560,3168296,Audi,A1,9.449357272446683,9.569044399823536,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8792,3153054,Volkswagen,Golf,9.998797732340453,9.549088997522082,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
648,3088636,Audi,A3,9.305559638557117,9.270378406415995,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8804,3153076,Kia,Sportage,10.23458824535543,10.237945929400885,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15843,3167172,Toyota,Yaris,8.740336742730447,9.04717787277637,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3232,3104309,Seat,Ibiza,9.947504437952903,10.033747675366154,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
15416,3166427,Ford,Focus,9.711115659888671,9.833502966706721,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
498,3087646,Ford,Transit Connect,9.811920359010637,9.603209844733046,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7535,3150100,Toyota,Landcruiser,10.461673747661957,10.461009136237347,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
6695,3139314,Audi,A4,10.041029641554612,9.984053815434345,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9774,3155326,Toyota,Corolla,9.468851067127684,9.23606137776156,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3060,3103428,Volkswagen,Golf,9.90098442231801,9.73888800325515,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14236,3164457,Toyota,Avensis,9.846917201047734,9.760591444361392,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11315,3158733,Peugeot,308,9.099408811268901,9.35876683690239,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
10406,3156666,Kia,Stonic,9.795345393916424,10.075279408511149,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
13431,3162906,Mini,Hatch,8.60337088765729,9.190669903225299,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
4923,3134059,Renault,Megane,10.08351481277671,10.011875488303216,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
17271,3169445,Seat,Ateca,10.517320926376348,10.602987293185187,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
16899,3168795,Volkswagen,Polo,9.53892443574839,9.539613174532938,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8426,3152162,Volkswagen,T-Roc,10.461673747661957,10.347662080654198,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
14275,3164515,Volkswagen,Golf,10.340128278112742,10.188806540588308,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9272,3154202,Volkswagen,Transporter,9.996522418503318,9.79795368192836,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
10015,3155812,Volkswagen,Touran,10.083723602839061,9.98955018427047,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
9979,3155739,Toyota,Yaris,9.300638009956963,9.35848629748479,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
8029,3151225,Hyundai,Kona,10.269865271936245,10.27017633569787,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7248,3140977,Ford,Kuga,10.584055950889214,10.387168991447716,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
94,3085009,Bmw,5 Series,10.776870783399007,10.464414484116086,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
11073,3158016,Audi,A3,10.04107321548869,9.837932339093026,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
2570,3100868,Mazda,CX-5,9.822548610030776,10.006271193799947,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12615,3161200,Peugeot,3008,10.079539496316487,10.214102502407158,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
3011,3103210,Skoda,Octavia,9.680031452383618,9.425693871270745,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
7621,3157641,Bmw,5 Series,8.691146498539675,8.724443756841135,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
12691,3161344,Kia,Ceed,8.293799608846818,8.9657521419958,-0.05943307877167648,8,1,2,600,1,0.049226719220086264
