,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,make,model
6,0.0015956401824951173,0.0007978201678396036,0.000797891616821289,0.0009772136685366603,7,{'alpha': 7},-0.061435335318237805,-0.07850686768504016,-0.020568980830617357,-0.05282280478449503,-0.016534316287818738,-0.04597366098124182,0.023901700659604713,7,-0.02319697220034381,-0.02790767013736595,-0.029150559854192463,-0.02411345924339547,-0.030029674155232087,-0.02687966711810596,0.0027331460342902903,Opel,Insignia
7,0.0011968135833740235,0.000977194214344759,0.0011967182159423827,0.0009771163471641285,8,{'alpha': 8},-0.06333332873674438,-0.08391596064444838,-0.021330930588475534,-0.05247564240981756,-0.01705221230164636,-0.04762161493622644,0.025351084886291703,8,-0.024307588093000113,-0.028969052215527348,-0.03049770565254293,-0.025413432492210196,-0.03124471054720931,-0.028086497800097983,0.002756540225519456,Opel,Insignia
8,0.001595783233642578,0.0007978916381938978,0.0007977485656738281,0.0009770384644690172,9,{'alpha': 9},-0.06519909034241783,-0.08910147703919671,-0.02219451163209912,-0.05217340820425729,-0.01759421658847831,-0.049252540761289855,0.026777408621561572,9,-0.025460756885198735,-0.030044712687388595,-0.03187987605795898,-0.026740728246194074,-0.03249131802665193,-0.029323478380678464,0.002781430266643492,Opel,Insignia
0,0.0011966705322265625,0.0009770774019384162,0.0011968135833740235,0.000977194214344759,1,{'alpha': 1},-0.01583921037793341,-0.013603290804991945,-0.02364925266121119,-0.01238145631506647,-0.016546231426976685,-0.01640388831723594,0.003920656395315403,1,-0.013170866582624036,-0.012209173641024144,-0.0102792678663224,-0.013498570431929357,-0.011794990234911833,-0.012190573751362354,0.0011385738282578338,Opel,Astra
1,0.001595783233642578,0.0007978916381938979,0.0007977962493896484,0.0009770968677642084,2,{'alpha': 2},-0.015188419848649777,-0.013585280149828292,-0.024610946134633254,-0.01253367300873664,-0.01620660416895948,-0.01642498466216149,0.004284693125722403,2,-0.013503840666304678,-0.012614092406451805,-0.010672880733754816,-0.01386807136759104,-0.012230584868803872,-0.012577894008581243,0.0011200843156206495,Opel,Astra
2,0.0011968612670898438,0.0009772331363015311,0.0007978439331054688,0.000977155265241817,3,{'alpha': 3},-0.015186382104849674,-0.013663304312435441,-0.025592134212301713,-0.012744671335857612,-0.016179974827983862,-0.01667329335868566,0.004615064365281257,3,-0.013893410069161616,-0.013059173458737219,-0.011080259775552801,-0.014254324289338026,-0.012701466270564512,-0.012997726772670835,0.0011090096078826752,Opel,Astra
3,0.0011967658996582032,0.000977155276876287,0.0007977962493896484,0.0009770968677642084,4,{'alpha': 4},-0.015459514483302461,-0.01385208291733072,-0.026594599748780662,-0.013008162949582309,-0.01632613842543991,-0.01704809970488721,0.004913575205011575,4,-0.014323046401904639,-0.01354954975521565,-0.011517711119613177,-0.014678209528048039,-0.013201290380154926,-0.013453961436987289,0.001102373543385829,Opel,Astra
4,0.001595783233642578,0.0007978916239454921,0.000797891616821289,0.0009772136685366603,5,{'alpha': 5},-0.01587560194640069,-0.014143374213606496,-0.027616216716328607,-0.013318429546843775,-0.01657132728710067,-0.01750498994205605,0.005188280761927399,5,-0.01478492647932835,-0.014080400318413658,-0.011985759326940173,-0.015140085584214332,-0.01372449873261089,-0.013943134088301482,0.0010990238128685058,Opel,Astra
5,0.0011966705322265625,0.0009770774019384162,0.0007979393005371094,0.0009772720660146167,6,{'alpha': 6},-0.01637520049493954,-0.014525859038213684,-0.0286544671055811,-0.01366996712979773,-0.016874225447830613,-0.018019943843272535,0.0054450319075803,6,-0.015273791499738145,-0.014645738792319994,-0.012481748825139388,-0.015636116569095162,-0.014266815378192181,-0.014460842212896974,0.0010982531721280232,Opel,Astra
6,0.0011967658996582032,0.000977155276876287,0.000797891616821289,0.0009772136685366603,7,{'alpha': 7},-0.01692728143733476,-0.014988568669525137,-0.02970704865623699,-0.01405777263488964,-0.017210018629235498,-0.018578138005444406,0.005688030263809016,7,-0.01578559029358625,-0.01524002119157848,-0.013002474428699175,-0.01616182966031106,-0.014824923258372542,-0.0150029677665095,0.001099575070345949,Opel,Astra
7,0.0011968135833740235,0.0009771942027107523,0.0007979393005371094,0.0009772720776476962,8,{'alpha': 8},-0.017513911782059053,-0.015521607665185368,-0.030771965178268787,-0.01447742705495523,-0.01756311836595053,-0.019169606009283795,0.0059204949027318095,8,-0.016317029742958154,-0.01585843006191931,-0.013544853416059694,-0.016713031270374233,-0.01539623268289736,-0.015565915434841749,0.001102641933821829,Opel,Astra
8,0.0011967182159423827,0.0009771163355291948,0.0007978439331054688,0.000977155265241817,9,{'alpha': 9},-0.01812394168421347,-0.0161162484172764,-0.03184750935886315,-0.014925081119629658,-0.01792349790313684,-0.019787255696623908,0.006145029879120383,9,-0.016865371855322202,-0.016496864808775335,-0.014106104751997287,-0.017286031735262188,-0.015978716716680306,-0.016146617973607464,0.0011071972496278111,Opel,Astra
0,0.0013962745666503905,0.0004885387765992847,0.0007979393005371094,0.00039896966451610907,1,{'alpha': 1},-0.011202870790784436,-0.01046682599282307,-0.012259232139262678,-0.009229345693603152,-0.013307562712095638,-0.011293167465713797,0.0014100654728405558,1,-0.009585336536186135,-0.00949029401172057,-0.009143706997662758,-0.010063133876398957,-0.008956669107282907,-0.009447828105850264,0.00038289422120586455,Opel,Corsa
1,0.0011967658996582032,0.00039892199505124864,0.0009975910186767578,1.784161275279017e-07,2,{'alpha': 2},-0.011306733424434253,-0.01036359899196752,-0.012681006358340116,-0.009681838942932168,-0.013585342789417348,-0.011523704101418281,0.001440492276648551,2,-0.009847019813465162,-0.009780771378847617,-0.009445507383873081,-0.01028893989076011,-0.009417781902757124,-0.00975600407394062,0.0003174020481047933,Opel,Corsa
