,dealer,county,make,model,vehicle_year,mileage,last_updated,price,transmission,engine,body,fuel,doors,mpg,owners,color,tax,nct_month,nct_year,download_date,page_id,log_price,age,owners_is_null,nct_is_null,mileage_is_0,make_and_model
5919,Johnson &amp; perrott  honda peugeot seat,Cork,Seat,Leon,2018.0,55232.0, 1 day ago,19950.0,Manual,1.6,Estate,Diesel,5.0,59.0,1.0,White,,July,2022.0,2022-09-01,3137120,9.90098442231801,4.0,False,False,False,Seat_Leon
6255,Colton motors mullingar,Westmeath,Seat,Leon,2022.0,1998.0, 11 hours ago,29450.0,Manual,2.0,Hatchback,Diesel,5.0,,1.0,Blue,,None,,2022-09-01,3137987,10.290449189079732,0.0,False,True,False,Seat_Leon
6728,Blackwater motors fermoy,Cork,Seat,Leon,2020.0,20084.0, 15 hours ago,26950.0,Automatic,1.5,Hatchback,Petrol,5.0,46.0,1.0,Blue,,February,2024.0,2022-09-06,3139412,10.201738576337144,2.0,False,False,False,Seat_Leon
6848,David buggy motors,Kilkenny,Seat,Leon,2019.0,51318.0, 1 hour ago,21900.0,Manual,1.5,Hatchback,Petrol,5.0,45.0,1.0,White,200.0,July,2023.0,2022-09-06,3139802,9.994241915804592,3.0,False,False,False,Seat_Leon
6872,D canny garage,Cork,Seat,Leon,2016.0,110573.0, 5 days ago,15900.0,Manual,1.2,Hatchback,Petrol,5.0,48.0,1.0,Red,200.0,October,2022.0,2022-09-06,3139868,9.674074388208323,6.0,False,False,False,Seat_Leon
7012,Kearys carstore cork,Cork,Seat,Leon,2017.0,76253.0, 1 month ago,23990.0,Manual,2.0,Estate,Diesel,5.0,56.0,3.0,Black,,January,2023.0,2022-09-06,3140276,10.08539235583374,5.0,False,False,False,Seat_Leon
7105,Blueline auto,Dublin,Seat,Leon,2017.0,120700.0, 19 days ago,14950.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,1.0,Black,,None,,2022-09-06,3140569,9.612466578818832,5.0,False,True,False,Seat_Leon
7107,Vartry garage kia &amp; peugeot,Wicklow,Seat,Leon,2015.0,94321.0, 7 days ago,16950.0,Manual,2.0,Estate,Diesel,5.0,56.0,1.0,White,200.0,May,2024.0,2022-09-06,3140573,9.738023112808596,7.0,False,False,False,Seat_Leon
7149,Ben henry motors,Cork,Seat,Leon,2018.0,83685.0, 1 month ago,23950.0,Manual,2.0,Hatchback,Diesel,5.0,,,Black,200.0,None,,2022-09-06,3140694,10.083723602839061,4.0,True,True,False,Seat_Leon
7596,O&#039;brien motors waterford,Waterford,Seat,Leon,2015.0,130000.0, 2 hours ago,12950.0,Manual,1.6,Hatchback,Diesel,5.0,62.0,4.0,Red,180.0,May,2023.0,2022-09-07,3150244,9.468851067127684,7.0,False,False,False,Seat_Leon
7807,Davin car sales,Limerick,Seat,Leon,2017.0,57111.0, 1 day ago,16450.0,Manual,1.2,Hatchback,Petrol,5.0,48.0,2.0,Red,200.0,July,2023.0,2022-09-07,3150748,9.708080756193517,5.0,False,False,False,Seat_Leon
8111,Usedirect ireland,Dublin,Seat,Leon,2016.0,81479.0, 12 days ago,14999.0,Manual,1.2,Estate,Petrol,5.0,,4.0,Black,,May,2024.0,2022-09-07,3151470,9.61573881119536,6.0,False,False,False,Seat_Leon
8333,Arthur auto sales ltd,Limerick,Seat,Leon,2017.0,71697.0, 29 days ago,16499.0,Manual,1.2,Hatchback,Petrol,5.0,48.0,2.0,White,200.0,March,2023.0,2022-09-07,3151969,9.711055051991444,5.0,False,False,False,Seat_Leon
8344,The sweep garage,Waterford,Seat,Leon,2021.0,10466.0, 28 days ago,28000.0,Manual,2.0,Hatchback,Diesel,5.0,53.0,2.0,Grey,190.0,July,2025.0,2022-09-07,3151992,10.239959789157341,1.0,False,False,False,Seat_Leon
8375,Colton motors mullingar,Westmeath,Seat,Leon,2018.0,131515.0, 1 day ago,15950.0,Manual,1.6,Estate,Diesel,5.0,59.0,1.0,Grey,,July,2022.0,2022-09-07,3152069,9.67721410821299,4.0,False,False,False,Seat_Leon
8895,Brian walsh car sales portarlington,Laois,Seat,Leon,2014.0,151277.0, 7 days ago,10950.0,Manual,1.6,Estate,Diesel,5.0,62.0,2.0,Silver,180.0,January,2024.0,2022-09-07,3153274,9.301094735244646,8.0,False,False,False,Seat_Leon
8994,Bradys (dublin) limited,Dublin,Seat,Leon,2022.0,14.0, 11 days ago,28650.0,Manual,1.0,Hatchback,Petrol,5.0,,1.0,Grey,,July,2026.0,2022-09-07,3153488,10.262908722142885,0.0,False,False,False,Seat_Leon
9208,Windsor motormall,Dublin,Seat,Leon,2019.0,77634.0, 1 day ago,23995.0,Automatic,2.0,Estate,Diesel,5.0,53.0,2.0,Red,,March,2023.0,2022-09-07,3154024,10.085600754292345,3.0,False,False,False,Seat_Leon
9329,Dmg motors ltd,Donegal,Seat,Leon,2018.0,102999.0, 10 hours ago,17900.0,Manual,1.6,Estate,Diesel,5.0,55.0,3.0,Red,,July,2022.0,2022-09-07,3154326,9.792555991828847,4.0,False,False,False,Seat_Leon
9575,Rochford motors ltd,Mayo,Seat,Leon,2021.0,39000.0, 14 minutes ago,33950.0,Automatic,2.0,Hatchback,Diesel,5.0,,1.0,Grey,200.0,January,2025.0,2022-09-07,3154869,10.432644132986843,1.0,False,False,False,Seat_Leon
9822,Connollys car centre,Mayo,Seat,Leon,2018.0,178126.0, 20 days ago,18795.0,Manual,2.0,Estate,Diesel,5.0,53.0,1.0,White,,May,2024.0,2022-09-07,3155454,9.841346155998279,4.0,False,False,False,Seat_Leon
10109,Albert berry motors ltd.,Monaghan,Seat,Leon,2017.0,198000.0, 4 hours ago,18950.0,Manual,2.0,Hatchback,Diesel,5.0,56.0,2.0,Red,200.0,March,2023.0,2022-09-07,3156009,9.849559210510572,5.0,False,False,False,Seat_Leon
10140,Birmingham motors,Westmeath,Seat,Leon,2017.0,133617.0, 17 days ago,16750.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,1.0,White,,None,,2022-09-07,3156085,9.726153537253213,5.0,False,True,False,Seat_Leon
10457,John earls motors,Wicklow,Seat,Leon,2011.0,236572.0, 21 days ago,7500.0,Manual,1.6,Hatchback,Diesel,5.0,62.0,3.0,Silver,180.0,February,2023.0,2022-09-07,3156760,8.922658299524402,11.0,False,False,False,Seat_Leon
10841,Right price cars,Dublin,Seat,Leon,2008.0,127532.0, 1 hour ago,4450.0,Manual,1.4,Hatchback,Petrol,5.0,34.0,4.0,Grey,385.0,March,2023.0,2022-09-07,3157537,8.400659375160286,14.0,False,False,False,Seat_Leon
10842,Gtm motors,Monaghan,Seat,Leon,2018.0,186683.0, 19 days ago,14995.0,Manual,1.6,Hatchback,Diesel,5.0,59.0,1.0,White,,None,,2022-09-07,3157540,9.61547209118311,4.0,False,True,False,Seat_Leon
10867,Mccoy motors ltd,Dublin,Seat,Leon,2021.0,23433.0, 4 days ago,36950.0,Automatic,1.4,Hatchback,Petrol hybrid,5.0,196.0,1.0,Red,,February,2025.0,2022-09-07,3157589,10.517320926376348,1.0,False,False,False,Seat_Leon
10946,Michael tynan cars,Dublin,Seat,Leon,2017.0,64551.0, 4 days ago,17444.0,Automatic,1.6,Hatchback,Diesel,5.0,57.0,1.0,Blue,,May,2023.0,2022-09-07,3157779,9.766751028962657,5.0,False,False,False,Seat_Leon
11068,Kelly&#039;s garage newport,Mayo,Seat,Leon,2017.0,115711.0, 6 days ago,15500.0,Manual,1.6,Hatchback,Diesel,5.0,57.0,2.0,White,200.0,March,2023.0,2022-09-07,3158003,9.648595302907339,5.0,False,False,False,Seat_Leon
