make,model,age,mileage,engine,mpg,owners,nct_remaining,tax,All
Ford,,5.0,104607.0,1.5,50.0,1.0,0.41666666666666663,200.0,
Honda,,6.0,94000.0,1.5,48.0,1.0,0.75,180.0,
Hyundai,,4.0,74411.0,1.6,46.0,1.0,0.75,200.0,
Kia,,4.0,81726.0,1.6,49.0,1.0,0.6666666666666667,270.0,
Land,,5.0,112301.0,2.0,36.0,1.5,0.5,333.0,
Mazda,,5.0,89119.0,2.0,50.0,1.0,0.6666666666666667,195.0,
Mercedes-benz,,4.0,76948.5,2.0,51.0,1.0,0.6666666666666667,200.0,
Mini,,5.0,60045.0,1.5,46.0,2.0,0.8333333333333334,195.0,
Mitsubishi,,5.0,132799.0,2.3,49.0,1.0,0.33333333333333337,170.0,
Nissan,,5.0,80890.0,1.5,48.0,1.0,0.75,200.0,
Opel,,4.0,60998.0,1.4,49.0,2.0,0.75,200.0,
Peugeot,,3.0,56342.0,1.5,55.0,1.0,0.75,200.0,
Renault,,4.0,65675.0,1.5,50.5,2.0,0.6666666666666667,200.0,
Seat,,3.0,58429.0,1.2,48.0,1.0,0.8333333333333334,200.0,
Skoda,,3.0,75000.0,1.6,51.0,1.0,0.8333333333333334,200.0,
Suzuki,,3.0,50704.0,1.3,44.0,1.0,0.75,200.0,
Toyota,,5.0,94314.0,1.6,50.0,1.0,0.5,190.0,
Volkswagen,,5.0,84133.0,1.6,50.0,1.0,0.6666666666666667,200.0,
Volvo,,4.0,103654.0,2.0,45.0,1.0,0.5833333333333333,270.0,
,,,,,,,,,5.0
,,,,,,,,,85140.0
,,,,,,,,,1.6
,,,,,,,,,50.0
,,,,,,,,,1.0
,,,,,,,,,0.6666666666666667
,,,,,,,,,200.0
