,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
3856,3107766,Hyundai,i30,10.253968352311533,10.186635954741591,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
3027,3103265,Volkswagen,Golf,9.388486557359657,9.21892564493849,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
10634,3157100,Peugeot,3008,10.607821922486638,10.537925896517866,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1950,3097470,Ford,Ranger,10.238172478583245,10.322032502260473,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
12563,3161123,Renault,Kadjar,9.67721410821299,9.684302741380836,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
10800,3157469,Bmw,5 Series,9.104424146384634,8.988767056725326,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
9234,3154107,Kia,Stonic,9.784140794903562,10.075269846803103,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
5185,3134913,Land,ROVER Discovery Sport,10.373459931293572,10.514223208901234,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15048,3165813,Kia,Sportage,9.388486557359657,9.26734118367057,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15244,3166161,Toyota,Auris,8.968268810776454,8.710043655624771,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
11703,3159533,Audi,A6,10.165659490817816,10.17059781605583,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
9657,3155044,Mitsubishi,Outlander,10.236202740279628,10.349414906086556,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
14316,3164583,Kia,Sportage,10.163926888594034,10.320317243318168,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
4762,3133544,Nissan,Qashqai,10.184711314926863,9.970586299302763,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
13213,3162404,Volkswagen,Passat,10.201738576337144,10.054462490078938,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
10157,3156119,Seat,Ibiza,9.546455401949554,9.5909713394578,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
13401,3162839,Kia,Sportage,9.975808214115753,10.06504453330425,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1523,3094683,Skoda,Superb,9.383873422737057,9.61575690152928,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
12407,3160843,Mercedes-benz,CLA Class,10.184711314926863,10.315446405892226,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
11434,3158953,Toyota,Aqua,9.392245175273795,9.402980143981742,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1213,3092510,Volkswagen,Tiguan,10.275051108968611,10.238404933093637,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
7905,3150978,Toyota,Corolla,10.238172478583245,10.162422813617141,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
4679,3133302,Ford,Kuga,9.099408811268901,8.969833890073211,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1384,3093640,Ford,Kuga,9.90323752128092,9.948523856530109,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15816,3167136,Volkswagen,Golf,9.674074388208323,9.685684929248648,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
8974,3153442,Seat,Ibiza,9.674074388208323,9.555571387638189,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
10364,3156579,Toyota,Auris,9.259130536145614,9.377628688450681,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
6547,3138826,Audi,A4,8.954802752850968,9.052516401792328,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
556,3088166,Volkswagen,Golf,9.185022563991893,9.303411939662281,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
3220,3104270,Ford,Kuga,9.767094927630573,9.743909830699266,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
11239,3158352,Ford,Transit Connect,9.185022563991893,9.178206107955926,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
14041,3164110,Audi,A4,10.083723602839061,9.844266530969541,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
10994,3157881,Nissan,Qashqai,9.79784922051313,9.88657707859848,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
9640,3155013,Volvo,XC90,11.183726712315513,10.852264031154538,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
4769,3133565,Honda,HR-V,10.402746539930654,10.40247352824771,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
17283,3169460,Bmw,5 Series,9.205327830152639,9.12837062931754,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
3351,3104856,Ford,Kuga,10.085600754292345,9.995582416270837,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
12184,3160444,Volkswagen,Passat,10.238172478583245,10.280649544694501,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
372,3086690,Ford,Transit Connect,9.035986984831405,9.410584112669426,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
5219,3135044,Ford,Mondeo,10.489884363149192,10.141652132942985,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1487,3094340,Hyundai,Tucson,10.163926888594034,10.25053024041391,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
13432,3162907,Seat,Leon,10.432644132986843,10.671982484321601,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
4015,3108725,Nissan,Qashqai,10.124629101179664,10.167352005172173,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
4039,3108848,Volkswagen,Caddy,9.767094927630573,9.921078421342502,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
17243,3169405,Bmw,5 Series,10.518538047359652,10.52396863577071,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
3646,3106570,Mercedes-benz,CLA Class,10.124629101179664,10.1550595155559,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
16970,3168915,Volkswagen,T-Roc,10.34158118013602,10.552590495006665,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
2745,3101855,Mercedes-benz,E Class,9.543163100092235,9.86618013906073,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
6855,3139818,Bmw,3 Series,10.04107321548869,10.039530585565307,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
4599,3133081,Nissan,Qashqai,10.491135318903403,10.459985547356261,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
16324,3167928,Skoda,Fabia,9.453286550586572,9.57357216016277,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
16772,3168600,Ford,Transit,10.036706396322352,9.602093271459635,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
12194,3160475,Bmw,7 Series,11.250911139267025,11.214914786515978,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
12396,3160810,Opel,Corsa,9.099408811268901,9.319922884155785,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
3271,3104489,Bmw,3 Series,10.949050620114422,10.83306973175158,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15809,3167120,Audi,A4,9.903437551286085,9.836520023800427,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
9232,3154099,Ford,Focus,7.989560449333865,8.501113186370485,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
6125,3137610,Peugeot,208,9.388486557359657,9.756659104210176,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
7366,3141330,Ford,Fiesta,9.301094735244646,9.19234425240899,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
8664,3152724,Volkswagen,Golf,9.949893925350283,9.907618930896707,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
17267,3169439,Hyundai,i20,9.38806805975991,9.472882803812023,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1918,3097290,Volkswagen,Polo,9.464207095933233,9.483502773563492,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
5301,3135342,Skoda,Superb,9.86526633971593,9.911755197671535,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15541,3166689,Volkswagen,Tiguan,10.46296047312364,10.44291982290103,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
210,3085621,Volkswagen,Golf,9.392245175273795,9.033187387360773,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
16744,3168555,Volkswagen,Polo,9.205327830152639,9.25282853533023,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
1692,3095758,Nissan,Serena,9.612466578818832,9.507185159183273,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
8565,3152501,Volkswagen,Polo,9.738023112808596,9.879307140029347,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
12906,3161848,Bmw,5 Series,10.858998997563564,10.187019267189743,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
15153,3165978,Toyota,Avensis,9.539644119118783,9.386585975357452,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
13650,3163335,Opel,Mokka,9.47231994707559,9.72487974219099,-0.030352604144405538,8,1,2,100,1,0.0045263962043699795
