,id,make,model,true,predict,score,ccp_alpha,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
3013,3103223,Ford,Mondeo,10.04107321548869,9.817333428357832,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
3772,3107355,Peugeot,Partner,8.846496938558838,9.077319344524112,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1728,3096010,Hyundai,i20,8.517193191416238,8.76491124140554,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
4805,3133702,Mercedes-benz,E Class,10.695914297187898,10.628098052649301,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1754,3096171,Mercedes-benz,A Class,10.307284603543595,10.31761578258728,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12142,3160367,Volkswagen,T-Roc,10.620107089281216,10.52411305554351,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
6772,3139558,Ford,Kuga,9.506734385029985,9.555375066905667,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
15080,3165860,Toyota,Prius,9.388486557359657,9.659057745998606,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
12270,3160573,Peugeot,5008,10.620107089281216,10.315436497957942,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
1085,3092075,Toyota,Yaris,9.158520623246385,9.260865349612159,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
408,3086966,Volkswagen,Polo,9.528794103094718,9.568131272001153,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
16397,3168031,Nissan,X-Trail,10.201738576337144,9.99072703146346,-0.026781877534285833,0,6,0.7,12,0,9,6,0,600,58,0.009792547163708497
