,id,make,model,true,predict,score,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,alpha_value,trainScore
12080,3160218,Kia,Sportage,10.081633737919603,9.95979768576977,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
9760,3155300,Volkswagen,Tiguan,9.632334782035558,9.87554044668673,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2744,3101844,Bmw,5 Series,9.38429367909962,9.227042546095714,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5519,3135853,Ford,Transit,9.67721410821299,9.79862329314084,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
11643,3159380,Toyota,Corolla,9.996522418503318,9.893374651118625,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
471,3087397,Ford,Transit Connect,8.980927207648378,9.336901327167224,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
12601,3161176,Hyundai,i20,10.079329830732325,10.098925739135789,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
5603,3136120,Mazda,Mazda2,9.875602349046593,9.94628211669587,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4370,3110747,Volkswagen,Passat,10.201553030367597,10.018685149239849,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
13951,3163925,Peugeot,3008,10.404111313817522,10.316950480537466,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
2992,3103089,Renault,Trafic,9.28266103355581,9.23506128802829,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
8374,3152067,Ford,Focus,9.67721410821299,9.594716529978829,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
4416,3110921,Mercedes-benz,C Class,10.594131602877955,10.410307790607433,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
11560,3159215,Volkswagen,Golf,9.546455401949554,9.426759031611406,-0.0275405456625331,6,0.7,12,0,9,6,0,600,58,0.009807559417070625
