,true,predict,make,model,score,alpha,epsilon,max_iter
786,10.081633737919603,10.232195185372778,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
16973,10.043032079974024,9.973263048119069,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
10873,9.90323752128092,9.835964596214584,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
15913,10.0190458931704,9.93740144699444,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
13029,9.392245175273795,9.469079719998577,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
16427,10.144235237798695,10.153131689083231,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
5251,9.838949031398556,9.979056484279322,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
14913,9.735068900911164,9.712845595001893,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
16566,9.695848187757884,9.742164375867691,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
17284,8.48673398393153,8.504984643863452,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
8624,9.301094735244646,9.250205333941398,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
15278,9.738023112808596,9.675196324756525,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
13390,10.221759448941915,10.211496984079819,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
2405,9.851931065621725,9.7169942162471,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
2584,10.183011437286446,10.281761325151162,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
13106,10.201738576337144,10.187437175624485,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
7468,10.46296047312364,10.574326440366107,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
4224,10.513253124157023,10.59797243148611,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
4216,10.657259354912508,10.598761567276888,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
15815,9.468851067127684,9.54096138498129,Nissan,Qashqai,-0.009352603089300715,0.62,1.35,500
4230,10.271596874100524,10.348853630281967,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
14824,10.447264276441805,10.321456549108124,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
5680,10.37333491957356,10.445602477414614,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
16300,10.124629101179664,10.15012539400628,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
11197,10.544024782823776,10.436239078568834,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
3755,10.12643108384767,10.092855669977482,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
9711,10.307284603543595,10.307274769057171,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
7469,10.46296047312364,10.376485545474843,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
7291,10.34158118013602,10.557819219997969,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
7390,10.292145542327912,10.42825095647018,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
4474,10.201738576337144,10.355275455233462,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
9712,10.448569664980209,10.252609689825588,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
87,10.106224294072675,9.855983432132877,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
6417,10.308785980087194,10.404826241953744,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
16054,10.08539235583374,10.261651213508637,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
6009,10.064542911536916,9.998928506232476,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
1579,10.124629101179664,10.177456456231821,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
3931,10.201738576337144,10.129523185272033,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
4709,10.274878680310541,10.287371209678417,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
12297,9.99857043378282,10.051421984603362,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
16397,10.201738576337144,10.196729508475507,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
17139,10.341742483467284,10.394658213936806,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
11013,10.477006245640542,10.411374837808888,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
5057,10.085600754292345,10.008233115859966,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
6664,10.273325483001141,10.265624479948338,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
5644,10.104385494903019,10.152446917061054,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
5171,10.236381967809457,10.32457229300944,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
17031,10.518538047359652,10.538949130417643,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
9999,10.085600754292345,10.044637140105158,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
13905,9.735068900911164,9.743190871757514,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
7895,10.46296047312364,10.600885989944064,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
5061,10.184711314926863,10.261388797303331,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
799,9.710812583662682,9.860232644056307,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
6205,9.90098442231801,9.920462711570593,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
7025,10.06475570013225,9.987655831830489,Nissan,X-Trail,-0.010637138690088593,0.03,1.35,500
12289,9.79784922051313,9.81897491522712,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
7234,9.952039593118293,9.848968099490653,Nissan,Micra,-0.10961436942467805,0.38,1.35,500
