,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
4270,3109907,Toyota,Landcruiser,8.987196820661973,9.136178185502866,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16314,3167915,Seat,Leon,9.680031452383618,9.626200457072093,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2880,3102547,Hyundai,i10,8.60337088765729,8.643288315396143,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16051,3167478,Bmw,3 Series,9.67721410821299,9.665779881884626,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2175,3098765,Bmw,3 Series,10.238172478583245,10.304141369584043,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13946,3163920,Bmw,X5,10.966472663561087,10.836898732485539,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4276,3109930,Seat,Ibiza,8.846496938558838,8.836667607719505,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6962,3140148,Skoda,Superb,9.90323752128092,10.066658477720454,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15846,3167175,Audi,A6,9.898475010712584,9.907054016163904,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8262,3151816,Renault,Clio,8.698681067461614,8.505996183277263,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16052,3167479,Kia,Sportage,10.083723602839061,10.075717607992443,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5582,3136039,Volkswagen,Golf,9.98736903651683,10.01076857846901,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7091,3140529,Hyundai,ix35,9.543234787249512,9.464855414569216,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5077,3134540,Audi,A6,10.371927459805681,10.416001460634304,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12983,3161990,Fiat,500,9.159047077588632,9.271691107707984,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6762,3139525,Seat,Arona,9.878169744551839,9.91030694586303,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3810,3107518,Audi,A6,10.489884363149192,10.269998173704945,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4944,3134118,Audi,A3,10.165813354725493,9.988453584712078,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17174,3169295,Skoda,Kodiaq,10.713306039899766,10.713796489031273,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
457,3087289,Kia,Sportage,10.290449189079732,10.262016664538201,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4659,3133235,Peugeot,3008,10.075337809462788,9.947255529151422,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12885,3161786,Honda,Civic,10.081633737919603,9.885999177057078,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6616,3139018,Skoda,Kodiaq,10.887436932884098,10.675268838488611,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12273,3160577,Kia,Sportage,10.707728780601661,10.49801169343289,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10997,3157885,Mercedes-benz,A Class,10.489884363149192,10.345128095854403,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3900,3107928,Honda,Civic,9.947504437952903,9.712082681381453,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2284,3099450,Bmw,5 Series,10.46296047312364,10.442090667305383,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6975,3140178,Toyota,Yaris,9.67721410821299,9.838049326123421,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5338,3135447,Mazda,Mazda3,8.400659375160286,8.580404169843359,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2558,3100795,Honda,Fit,9.392245175273795,9.358861701955341,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7820,3150782,Toyota,Corolla,10.083723602839061,10.076431716784375,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
14130,3164259,Volkswagen,Golf,10.461673747661957,10.156840496776667,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6723,3139402,Seat,Ibiza,9.738023112808596,9.710338649063916,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7033,3140328,Fiat,500,9.099297073182859,9.15069250614581,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1889,3097142,Toyota,Aqua,9.388486557359657,9.408040785901992,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11259,3158396,Peugeot,3008,10.778852117797637,10.463572359933293,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16782,3168614,Bmw,1 Series,10.126231023828998,10.096034483565884,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15883,3167222,Dacia,Duster,9.927936232938437,9.840085993628627,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9448,3154595,Bmw,5 Series,10.643041105910228,10.73058548868934,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5777,3136614,Audi,A5,9.795345393916424,9.567646579821945,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15339,3166299,Peugeot,2008,10.387455722132236,10.324854074476693,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16915,3168819,Mazda,CX-5,9.792555991828847,9.971520939712118,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15945,3167321,Toyota,Yaris,10.081424511012258,10.223707362827719,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5378,3135550,Volkswagen,Tiguan,10.144471021978669,10.225665114331353,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4445,3111065,Nissan,Micra,8.83927669058535,8.917672842069376,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9495,3154716,Mercedes-benz,E Class,9.388486557359657,9.203575137566784,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9539,3154796,Audi,A4,10.171604469493069,10.108492131832454,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
12114,3160301,Bmw,5 Series,10.644233711895351,10.56741808068071,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13177,3162353,Skoda,Superb,9.615805480084347,9.722227502804166,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10053,3155875,Peugeot,2008,9.851931065621725,9.910539839848951,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
2915,3102718,Mini,Hatch,9.612466578818832,9.668531259842277,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13477,3162999,Skoda,Karoq,10.372709626447044,10.399270883753719,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
559,3088183,Toyota,Prius,9.528794103094718,9.559109932150642,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
659,3088751,Volkswagen,Caddy,10.06475570013225,9.851404927800074,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6402,3138435,Honda,Civic,10.1226230824528,9.77619323966569,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
4966,3134179,Skoda,Karoq,10.489884363149192,10.793160819888277,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5260,3135207,Bmw,5 Series,10.517320926376348,10.558167884830711,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8536,3152443,Nissan,Qashqai,10.083723602839061,9.903823825932905,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16021,3167433,Suzuki,Vitara,9.875602349046593,10.182012126497794,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
17068,3169125,Bmw,7 Series,11.384523750165704,11.3653552274007,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5759,3136565,Nissan,Qashqai,10.599131613294661,10.580966143478943,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
16632,3168388,Peugeot,2008,9.61547209118311,9.836208469406367,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15715,3166974,Nissan,Note,9.413281215972873,9.494885517345814,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11962,3160022,Ford,Fiesta,9.877913301416697,9.768154053053435,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7268,3141054,Renault,Trafic,9.632006859422356,9.84378745114027,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13064,3162127,Land,ROVER Discovery Sport,10.590365120082478,10.652500234732571,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
3494,3105630,Volkswagen,Polo,8.852950887099581,8.734239826901701,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7168,3140755,Volkswagen,Passat,9.849559210510572,9.759970926556937,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
11768,3159649,Hyundai,ix35,9.158520623246385,8.976610759776323,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
15377,3166348,Toyota,Rav4,9.849559210510572,9.75585912917665,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8180,3151632,Volkswagen,Tiguan,9.711115659888671,9.70857548810807,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8437,3152184,Honda,Civic,9.67721410821299,9.635896565835653,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9390,3154446,Nissan,Note,8.948975607841776,8.948266726136536,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5709,3136418,Ford,Fiesta,10.021270588192511,9.963771273649042,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
10229,3156246,Bmw,3 Series,10.124629101179664,10.047711557129723,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9550,3154821,Volkswagen,Tiguan,10.713306039899766,10.878700494100057,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
66,3084787,Hyundai,Tucson,9.79784922051313,9.859719664765194,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7642,3150332,Honda,Jazz,9.099408811268901,9.419982120909538,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6239,3137940,Toyota,Landcruiser,10.307284603543595,10.205180046308026,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1125,3091951,Nissan,Micra,9.258654232254733,9.307202086572595,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
8986,3153471,Volkswagen,Polo,9.345745008982385,9.214906243176433,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
6298,3138124,Hyundai,Tucson,10.461673747661957,10.681524428139697,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
413,3086996,Toyota,Corolla,10.042379551402746,9.893524127827124,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
9660,3155059,Peugeot,Partner,9.612466578818832,9.61127634573349,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
13104,3162200,Hyundai,Kona,10.152298850598916,10.222029941346296,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
7442,3149831,Volkswagen,Golf,10.083723602839061,9.993934066720147,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
271,3086089,Volkswagen,Golf,10.432644132986843,10.165785809493684,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
1673,3095639,Honda,Fit,9.429475901892854,9.238212783736813,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
5998,3137342,Audi,Q5,9.952230096524119,9.892148825849487,-0.027911699577382112,6,12,9,6,600,58,0.009463979315576682
