,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
13473,3162992,Bmw,1 Series,10.085600754292345,9.849728632174251,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4596,3133078,Nissan,Qashqai,10.621205387030278,10.258813640283249,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4230,3109773,Nissan,X-Trail,10.271596874100524,9.914913542609575,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3442,3105356,Hyundai,ix35,9.093806555720231,9.165384995755238,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5148,3134789,Nissan,Serena,9.53892443574839,9.831531083529363,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
13915,3163787,Bmw,1 Series,9.612466578818832,9.491570104793956,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10796,3157465,Nissan,Qashqai,10.201738576337144,9.977382075939795,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5415,3135641,Audi,A6,10.868092144688834,10.738435092074251,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7806,3150745,Renault,Megane,9.795345393916424,9.877460964752586,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14680,3165187,Volkswagen,Golf,11.111701351119319,10.418291662905098,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
147,3085282,Volkswagen,Golf,9.875602349046593,9.72777009924082,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
8514,3152349,Kia,Ceed,9.898475010712584,9.87102152611711,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
8650,3152695,Mercedes-benz,C Class,10.308919326755392,10.252926723355793,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
11024,3157930,Nissan,Note,9.615138591096644,9.59428897827467,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
8867,3153204,Volkswagen,Passat,9.612466578818832,9.470276914800781,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4716,3133394,Bmw,5 Series,10.126591103050316,10.265249687080846,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6573,3138911,Honda,Fit,9.388486557359657,9.51853732853274,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1570,3094956,Citroen,Grand C4 Picasso,9.740674462130217,9.534382924129597,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5489,3135785,Renault,Kadjar,10.221577581159291,10.15838219173628,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4714,3133391,Ford,Focus,9.158520623246385,8.957167072276754,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6848,3139802,Seat,Leon,9.994241915804592,9.934442844714212,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12347,3160735,Skoda,Karoq,10.477287975463508,10.494416060344875,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5362,3135503,Mazda,Mazda6,9.453286550586572,9.66797044683796,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
2504,3100497,Audi,A4,9.388486557359657,8.957270481699801,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4144,3109308,Renault,Clio,9.898475010712584,9.899837012821449,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5225,3135056,Bmw,2 Series,9.711115659888671,9.678154198138088,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4521,3114917,Honda,Fit,9.429475901892854,9.541213360250795,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5995,3137339,Nissan,Qashqai,10.12643108384767,9.921192677514822,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
13154,3162314,Hyundai,Tucson,10.274878680310541,10.232890691055221,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15990,3167380,Suzuki,Swift,9.791997176502765,9.844643436267738,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10813,3157489,Audi,A5,10.201738576337144,9.718837439636191,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3465,3105457,Volkswagen,Golf,10.201738576337144,9.871623554823831,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
8680,3152756,Volkswagen,Passat,9.946930110378965,9.673054885702165,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
9209,3154026,Nissan,Qashqai,9.99857043378282,9.721736354046614,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4874,3133857,Volkswagen,Passat,9.740674462130217,9.578738148739907,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
274,3086105,Audi,A3,10.165659490817816,9.874984187415661,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4499,3114833,Audi,Q3,10.87297776087786,10.806221029273761,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6510,3138733,Land,ROVER Discovery Sport,10.713306039899766,10.457302919698453,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1903,3097210,Mercedes-benz,C Class,11.007220043898808,10.481017217822519,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1107,3091740,Kia,Sportage,10.515966830028619,10.426550014711907,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
16365,3167985,Hyundai,i20,9.79784922051313,9.932688872023958,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5970,3137280,Ford,S-Max,9.90323752128092,9.835078640521461,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1482,3100990,Skoda,Kodiaq,10.932660441466956,10.844222033966663,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12016,3160113,Renault,Clio,9.825255704266555,9.813933823924408,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7791,3150716,Mercedes-benz,E Class,10.544024782823776,10.578904371044764,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10761,3157398,Mercedes-benz,CLA Class,10.04107321548869,9.98749390320576,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3380,3105036,Toyota,Yaris,8.293799608846818,8.925931421944322,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
11305,3158700,Toyota,Corolla,10.163926888594034,10.075368067620186,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12813,3161647,Toyota,C-HR,10.2396025825095,10.409215110914532,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12070,3160198,Volkswagen,Golf,9.047821442478408,8.852726976511814,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10712,3157310,Seat,Ateca,10.04107321548869,10.150325821079482,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15559,3166710,Peugeot,3008,10.633328217032549,10.321816421947567,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4024,3108778,Bmw,3 Series,9.612466578818832,9.013601071206866,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
11665,3159432,Volkswagen,Polo,9.79784922051313,9.569483189089357,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
16917,3168821,Toyota,Avensis,7.24422751560335,8.422194008051521,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7226,3140918,Volkswagen,Passat,9.836278802842678,9.758051652879168,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12835,3161689,Volkswagen,Passat,9.305650551780507,9.482768329104221,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3944,3108158,Mercedes-benz,CLA Class,10.201738576337144,10.426868687717489,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3527,3105892,Audi,A3,10.126631103850338,9.898262152360363,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
2418,3100105,Citroen,Grand C4 Picasso,9.581903928408666,9.796048067490087,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15266,3166193,Peugeot,5008,9.468851067127684,10.118577074104245,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
8621,3152636,Skoda,Superb,8.45531778769815,8.65554281644269,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
935,3090730,Mazda,Mazda6,9.546455401949554,9.83982706178448,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14946,3165617,Citroen,Grand C4 Picasso,10.221759448941915,10.010717596881312,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
5084,3134560,Mercedes-benz,C Class,10.595383951194421,10.634003482291421,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
3943,3108143,Audi,A5,10.271596874100524,9.456394938131966,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10522,3156879,Toyota,C-HR,10.292145542327912,10.410731567411638,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1159,3092175,Skoda,Karoq,10.323841273138044,10.213107063199894,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4834,3133775,Ford,Kuga,10.146237633489257,10.134491475253297,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
6422,3138489,Ford,Mondeo,9.925444719888171,9.750961632837221,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4985,3134230,Bmw,5 Series,10.274878680310541,10.385311217129702,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
8832,3153123,Kia,Sorento,10.404111313817522,10.265092598375226,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15987,3167376,Volkswagen,Polo,9.412464556066316,9.400280463187766,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14298,3164552,Audi,A3,9.798071479779479,9.707987977891296,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
12921,3161880,Kia,Sportage,10.043032079974024,10.063486206752755,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
9964,3155720,Volkswagen,Tiguan,10.371927459805681,10.397618294780965,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
10062,3155907,Volkswagen,Passat,10.201738576337144,9.887077636586602,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15196,3166054,Renault,Clio,9.388486557359657,9.501182816777453,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1810,3096558,Toyota,Auris,9.345745008982385,9.207795588854292,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
13272,3162509,Nissan,Qashqai,9.388486557359657,9.227390480580876,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
14400,3164722,Opel,Corsa,8.698681067461614,8.930897728652914,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
1909,3097238,Suzuki,Vitara,10.293331279741336,10.329690355632087,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
4266,3109890,Audi,A3,9.940301525658844,9.842206603865503,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
11848,3159791,Volkswagen,Tiguan,10.735309127783832,10.481870868277056,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
7813,3150757,Ford,Focus,9.51044496442652,9.302439469212901,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
15519,3166653,Hyundai,Tucson,10.477287975463508,10.382546703467314,-0.060431538026112515,8,1,2,600,1,0.05032511678405105
