,id,make,model,true,predict,score,max_depth,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
28,3084596,Mercedes-benz,E Class,11.155535980093628,10.758268943431691,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
8612,3152619,Audi,A6,9.994241915804592,10.01912605572193,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12909,3161858,Renault,Clio,8.48673398393153,8.648524276922968,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
12002,3160088,Audi,A4,10.256781788315383,10.124110047196165,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
15779,3167077,Bmw,3 Series,8.698681067461614,8.792490316518222,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13860,3163693,Dacia,Duster,9.93740577073959,9.96190313943291,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
11453,3158994,Opel,Astra,9.099408811268901,9.188992876998041,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
7939,3151056,Toyota,Yaris,9.179365567676752,9.234868049754427,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
2144,3098648,Skoda,Superb,10.122141038577473,10.075030653745353,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
7595,3150238,Fiat,500,9.468851067127684,9.490345174454134,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
16047,3167473,Mercedes-benz,CLA Class,10.594131602877955,10.596776710932863,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9470,3154646,Dacia,Duster,9.738023112808596,9.812102078869518,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
3842,3107708,Ford,Mondeo,10.04107321548869,10.07665769487822,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
9666,3155077,Kia,Sportage,9.099408811268901,9.173579993371566,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
13539,3163137,Hyundai,ix35,9.60911649193355,9.462180865952819,-0.027834476246699172,6,12,0,9,6,600,58,0.009506297103255493
