,id,make,model,true,predict,score,max_depth,min_samples_leaf,min_samples_split,n_estimators,alpha_value,trainScore
3729,3107115,Bmw,1 Series,9.543234787249512,9.642775555340561,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
15050,3165817,Volkswagen,Golf,9.949893925350283,9.841226967693313,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
17454,3169726,Volkswagen,T-Roc,10.461530675911229,10.369708067754704,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
11247,3158368,Volkswagen,Golf,9.296518068217235,9.51805333150908,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
4881,3133880,Volvo,XC60,10.571291283757406,10.578440343545108,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
1276,3092918,Nissan,Juke,9.612466578818832,9.506704047698054,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
12429,3160884,Renault,Clio,9.792555991828847,9.856091583949047,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
816,3089843,Mercedes-benz,E Class,10.543893021838013,10.414895561103958,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
5345,3135467,Renault,Clio,9.51044496442652,9.561737005215072,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
8103,3151387,Toyota,Auris,9.61547209118311,9.61247681344928,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
6910,3139992,Skoda,Octavia,9.851931065621725,9.731603206594244,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
5029,3134388,Opel,Insignia,9.695848187757884,10.103774176346924,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
3958,3108236,Peugeot,Partner,9.612466578818832,9.757329650473775,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
17241,3169401,Volkswagen,Polo,9.429475901892854,9.193389760958096,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
11788,3159690,Bmw,X5,11.461105716240432,11.24950464177099,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
8971,3153435,Opel,Astra,9.769956159911606,9.705323659737648,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
11949,3159989,Land,ROVER Discovery,9.789478635924262,9.818477921431409,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
16928,3168843,Toyota,Corolla,9.680031452383618,10.00218433718906,-0.047936646106517905,8,1,2,100,1,0.03150688372484743
